CampsiteID,FacilityID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,CreatedDate,LastUpdatedDate
42030,232139,14,STANDARD NONELECTRIC,Overnight,LODG,FALSE,-109.466171,40.8108,5/2/2014,8/19/2020
76002,232140,9,MANAGEMENT,Overnight,MANAGEMENT,FALSE,-71.504741,44.258612,5/2/2014,8/19/2020
63011,232141,3,STANDARD NONELECTRIC,Overnight,SIGN,FALSE,-131.699442,55.408863,5/2/2014,5/27/2020
21250,232142,1,GROUP STANDARD NONELECTRIC,Overnight,CLEA,TRUE,-111.765182,34.515234,5/2/2014,8/19/2020
15133,232143,3,GROUP STANDARD NONELECTRIC,Overnight,Sycamore,FALSE,-111.7743,34.841326,5/2/2014,3/23/2020
20544,232144,7,STANDARD NONELECTRIC,Overnight,DAIRY SPRINGS ,FALSE,-111.487793,34.956084,5/2/2014,3/23/2020
12488,232145,34E,MANAGEMENT,Overnight,Loop B,FALSE,-108.537564,37.515611,5/2/2014,7/14/2020
33012,232146,XXX41,MANAGEMENT,Overnight,MANAGEMENT,FALSE,0,0,5/2/2014,1/23/2019
53007,232147,22,STANDARD NONELECTRIC,Overnight,PINE,FALSE,-111.46294,35.02746,5/2/2014,8/19/2020
22002,232150,116,MANAGEMENT,Overnight,MANAGEMENT SITES,FALSE,-94.525297,47.379518,5/2/2014,1/23/2019
16128,232151,30,STANDARD NONELECTRIC,Overnight,NORW,FALSE,-94.514793,47.380493,5/2/2014,3/23/2020
56081,232152,15,STANDARD NONELECTRIC,Overnight,DINN,FALSE,-106.586257,38.905588,5/2/2014,3/23/2020
22545,232153,14,STANDARD NONELECTRIC,Overnight,LAKE,FALSE,-107.107425,38.881725,5/2/2014,3/23/2020
21003,232154,XXX4,MANAGEMENT,Overnight,MANAGEMENT,FALSE,0,0,5/2/2014,1/23/2019
51009,232155,3,STANDARD NONELECTRIC,Overnight,LODG,FALSE,-106.662839,38.761114,5/2/2014,3/23/2020
26011,232156,12,RV ELECTRIC,Overnight,ONE,FALSE,-106.757251,38.729063,5/2/2014,3/23/2020
15136,232157,6,STANDARD NONELECTRIC,Overnight,ROSY,FALSE,-106.746683,38.731174,5/2/2014,3/23/2020
32025,232158,19,STANDARD NONELECTRIC,Overnight,BOGA,FALSE,-107.261615,39.100435,5/2/2014,3/23/2020
48014,232159,68,RV NONELECTRIC,Overnight,G,FALSE,-106.640726,39.3106,5/2/2014,3/23/2020
51074,232160,32,STANDARD NONELECTRIC,Overnight,MOLL,FALSE,-106.811517,39.375168,5/2/2014,3/23/2020
53003,232161,45,STANDARD NONELECTRIC,Overnight,Spur,FALSE,-79.968317,37.935158,5/2/2014,8/19/2020
68011,232162,41,STANDARD ELECTRIC,Overnight,SING,TRUE,-78.734559,38.95278,5/2/2014,3/23/2020
15158,232163,CANYON GROUP ,GROUP PICNIC AREA,Day,PONDEROSA,FALSE,-115.643479,36.254682,5/2/2014,8/27/2020
96653,232166,12,PICNIC,Day,B,FALSE,-115.60759,36.263166,4/23/2015,3/23/2020
74052,232167,FDR,GROUP TENT ONLY AREA NONELECTRIC,Overnight,MAHO,FALSE,-115.619616,36.313551,5/2/2014,6/3/2020
