City,Wiki_String,img_url
Ann Arbor ,"Ann_Arbor,_Michigan",//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Ann_Arbor_sunset_2018.jpg/275px-Ann_Arbor_sunset_2018.jpg
Minneapolis ,Minneapolis,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/MinneapolisCollage.jpg/280px-MinneapolisCollage.jpg
St. Paul ,"Saint_Paul,_Minnesota",//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Saint_Paul_skyline%2C_West_Side_%28cropped%29.jpg/280px-Saint_Paul_skyline%2C_West_Side_%28cropped%29.jpg
Jackson ,"Jackson,_Mississippi",//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Andrew_Jackson.jpg/220px-Andrew_Jackson.jpg
Kansas City ,"Kansas_City,_Missouri",//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Kansas_City_Collage_2016.jpg/250px-Kansas_City_Collage_2016.jpg
St. Louis ,St._Louis,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gateway_Arch%2C_St._Louis%2C_Missouri%2C_U.S.A.jpg/300px-Gateway_Arch%2C_St._Louis%2C_Missouri%2C_U.S.A.jpg
Branson,"Branson,_Missouri",//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/UserKTrimble_AP_Branson_Mo_NW_Oct_2009.jpg/250px-UserKTrimble_AP_Branson_Mo_NW_Oct_2009.jpg
Billings ,"Billings,_Montana",//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Billings%2C_Montana_Collage_4.jpg/250px-Billings%2C_Montana_Collage_4.jpg
Omaha ,"Omaha,_Nebraska",//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Heartland_of_America_Park%2C_Omaha%2C_Nebraska.jpg/250px-Heartland_of_America_Park%2C_Omaha%2C_Nebraska.jpg
Lincoln ,"Lincoln,_Nebraska",//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Skyline_of_Downtown_Lincoln%2C_Nebraska%2C_U.S._%282015%29.jpg/250px-Skyline_of_Downtown_Lincoln%2C_Nebraska%2C_U.S._%282015%29.jpg
Las Vegas ,Las_Vegas,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/DowntownLasVegas.jpg/266px-DowntownLasVegas.jpg
Reno ,"Reno,_Nevada",//upload.wikimedia.org/wikipedia/en/thumb/d/d9/City_of_Reno_logo.jpg/100px-City_of_Reno_logo.jpg
Manchester ,"Manchester,_New_Hampshire",//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Manchester%2C_New_Hampshire_Montage.jpg/300px-Manchester%2C_New_Hampshire_Montage.jpg
Newark ,"Newark,_New_Jersey",//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Newark_October_2016_panorama.jpg/278px-Newark_October_2016_panorama.jpg
Atlantic City,"Atlantic_City,_New_Jersey",//upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Atlantic_City_skyline_from_47th_floor_of_Revel.jpg/250px-Atlantic_City_skyline_from_47th_floor_of_Revel.jpg
Albuquerque ,"Albuquerque,_New_Mexico",//upload.wikimedia.org/wikipedia/commons/thumb/0/02/Albuquerque_%281880%29.jpg/220px-Albuquerque_%281880%29.jpg
Santa Fe ,"Santa_Fe,_New_Mexico",//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Santa_fe_depot_railrunner.jpg/134px-Santa_fe_depot_railrunner.jpg
New York City,New_York_City,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Lower_Manhattan_skyline_-_June_2017.jpg/278px-Lower_Manhattan_skyline_-_June_2017.jpg
Buffalo ,"Buffalo,_New_York",//upload.wikimedia.org/wikipedia/commons/thumb/0/05/BuffaloDowntownCrop.jpg/278px-BuffaloDowntownCrop.jpg
Rochester ,"Rochester,_New_York",//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/RochesterCollage4.jpg/300px-RochesterCollage4.jpg
Niagara Falls ,"Niagara_Falls,_New_York",//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Niagara_Falls%2C_New_York_from_Skylon_Tower.jpg/250px-Niagara_Falls%2C_New_York_from_Skylon_Tower.jpg
